name;cover;description;god;system;system_dop;system_dop2;system_dop3;obl;montage;img1;img2;img3;img4;img5;img6;img7;img8;img9;img10;img11;img12;img13;img14;img15;img16;img17;img18;img19;img20;ronson_system;ronson_montage;ronson_vitrage;ronson_granit;ronson_klinker;ronson_decor;ronson_brick;montagepartner;inside;Keyword;ncTitle;ncKeywords;ncDescription;ncSMO_Title;ncSMO_Description;ncSMO_Image
ФГБУ Нмиц хирургии имени А.В. Вишневского;0.jpg:image/jpeg:62137;г. Москва, ул. Большая Серпуховская, д. 27, стр. 7;2021.0;Ронсон-200;;;;кассеты из алюминия;;1.jpg:image/jpeg:403730;2.jpg:image/jpeg:274699;3.jpg:image/jpeg:442854;4.jpg:image/jpeg:388836;5.jpg:image/jpeg:324632;6.jpg:image/jpeg:303999;;;;;;;;;;;;;;;1;0;0;0;0;0;0;;1;;;;;;;
ЖК «Борисовские пруды»;0.jpg:image/jpeg:32220;г. Москва, ул. Борисовские пруды, д. 7, к. 2;2020.0;Ронсон-100;Ронсон-300;;;фиброцементные плиты, керамогранит (видимое крепление);;1_DSC04353.jpg:image/jpeg:735383;2_DSC04359.jpg:image/jpeg:747402;3_DSC04369.jpg:image/jpeg:753123;4_DSC04370.jpg:image/jpeg:770853;5_DSC04371.jpg:image/jpeg:758868;6_DSC04376.jpg:image/jpeg:836225;7_DSC04378.jpg:image/jpeg:754670;8_DSC04392.jpg:image/jpeg:643292;;;;;;;;;;;;;1;0;0;0;0;0;0;;1;;;;;;;
ЖК «Донской квартал»;0.jpg:image/jpeg:73370;г. Москва, Духовской пер., д. 17;2020.0;Ронсон-500;;;;декоративный камень White Hills;;1_DSC03052.jpg:image/jpeg:1066476;4_DSC03066_1.jpg:image/jpeg:837506;8_DSC03089.jpg:image/jpeg:769637;2_DSC03058.jpg:image/jpeg:995751;3_DSC03065.jpg:image/jpeg:799445;5_DSC03069.jpg:image/jpeg:885980;6_DSC03077.jpg:image/jpeg:950550;7_DSC03086.jpg:image/jpeg:993398;;;;;;;;;;;;;1;0;0;0;1;0;0;;1;;;;;;;
Городской квартал RIVERPARK;0.jpg:image/jpeg:53651;г. Москва, ул. Речников, вл. 7, ул. Корабельная, 6;2021.0;Ронсон-300;Ронсон-400;;;керамогранит (видимое и скрытое крепление), терракота;;1_DSC04325.jpg:image/jpeg:629673;2_DSC04326.jpg:image/jpeg:274524;3_DSC04330.jpg:image/jpeg:651947;5_DSC04342.jpg:image/jpeg:687627;6_DSC04346.jpg:image/jpeg:687032;4_DSC04337.jpg:image/jpeg:574772;6_DSC04347.jpg:image/jpeg:582016;;;;;;;;;;;;;;1;0;0;1;0;0;0;;1;;;;;;;
Жилой дом по программе реновации;0.jpg:image/jpeg:54588;г. Москва, ул. Черное озеро, вл. 4;2020.0;Ронсон-500;;;;декоративный камень White Hills;;1_DSC03456.jpg:image/jpeg:954277;4_DSC03477_1.jpg:image/jpeg:829200;6_DSC03484.jpg:image/jpeg:674108;7_DSC03489_1.jpg:image/jpeg:772055;2_DSC03469.jpg:image/jpeg:748870;3_DSC03476.jpg:image/jpeg:884000;5_DSC03479.jpg:image/jpeg:754631;;;;;;;;;;;;;;1;0;0;1;0;0;0;;1;;;;;;;
Жилой дом по программе реновации;0.jpg:image/jpeg:31117;г. Москва, 1-й Стрелецкий проезд, д. 18;2020.0;Ронсон-500;;;;декоративный камень Экостоун;;1.jpg:image/jpeg:628952;2.jpg:image/jpeg:905570;3.jpg:image/jpeg:774631;4.jpg:image/jpeg:761238;;;;;;;;;;;;;;;;;1;0;0;0;1;0;0;;1;;;;;;;
ЖК «FoRest»;0.jpg:image/jpeg:5753;г. Москва, пересечение Боровского шоссе и Чоботовской улицы;2020.0;Ронсон-100;Ронсон-200;Ронсон-500;;фиброцементные плиты, металлокассеты, керамогранит (скрытое крепление), декоративный камень White Hills;;1.jpg:image/jpeg:260560;2.jpg:image/jpeg:301265;3.jpg:image/jpeg:215902;4.jpg:image/jpeg:283808;5.jpg:image/jpeg:291801;6.jpg:image/jpeg:264407;7.jpg:image/jpeg:270841;8.jpg:image/jpeg:242975;;;;;;;;;;;;;1;0;0;0;1;0;0;;1;;;;;;;
ЖК «Резиденция Архитекторов»;0.jpg:image/jpeg:12666;г. Москва, ул. Б. Почтовая, д. 30;2021.0;Ронсон-500;;;;декоративный камень White Hills;;1.jpg:image/jpeg:222108;2.jpg:image/jpeg:200481;3.jpg:image/jpeg:206748;4.jpg:image/jpeg:212031;5.jpg:image/jpeg:200500;6.jpg:image/jpeg:188953;7.jpg:image/jpeg:224597;8.jpg:image/jpeg:209686;;;;;;;;;;;;;1;0;0;0;1;0;0;;1;;;;;;;
ЖК «Десятка», Московская область;0.jpg:image/jpeg:55906;г. Раменское, ул. Молодежная, д.3;2019.0;Ронсон-300;;;;керамогранит (видимое крепление), витражи;;1.jpg:image/jpeg:289066;2.jpg:image/jpeg:419491;3.jpg:image/jpeg:238011;;;;;;;;;;;;;;;;;;1;0;1;0;0;0;0;;1;;;;;;;
Жилой дом, Московская область;0.jpg:image/jpeg:54251;г. Лобня, ул. Победы, д. 10;2020.0;Ронсон-300;;;;керамогранит (видимое крепление);;1.jpg:image/jpeg:271652;2.jpg:image/jpeg:291565;;;;;;;;;;;;;;;;;;;1;0;0;0;0;0;0;;1;;;;;;;
